"id"	"trait"	"sample_size"	"nsnp"	"year"	"consortium"	"author"	"note"	"access"	"mr"	"sex"	"pmid"	"priority"	"population"	"unit"	"category"	"subcategory"	"ncase"	"ncontrol"	"sd"	"ukbbid"
"ukb-b-5143"	"Volume level set by participant (right)"	148695	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"4277: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"4277"
"ukb-b-5495"	"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar"	461046	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"6144#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	86648	374398	NA	"6144#4"
"ukb-b-7469"	"Non-cancer illness code, self-reported: enlarged prostate"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20002#1396: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	6239	456694	NA	"20002#1396"
"ukb-b-7237"	"Operative procedures - secondary OPCS: Q12.4 Removal of intrauterine contraceptive device NEC"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41210#Q124: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1019	461991	NA	"41210#Q124"
"ukb-b-929"	"Frequency of tiredness / lethargy in last 2 weeks"	449019	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"2080: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"2080"
"ukb-b-19438"	"Operation code: rectal or colon polypectomy"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20004#1463: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1928	461005	NA	"20004#1463"
"ukb-b-20045"	"Diagnoses - secondary ICD10: F32.9 Depressive episode, unspecified"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#F329: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	5842	457168	NA	"41204#F329"
"ukb-b-13864"	"Operative procedures - secondary OPCS: Z27.6 Ileum"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41210#Z276: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	4720	458290	NA	"41210#Z276"
"ukb-b-4655"	"Frequency of walking for pleasure in last 4 weeks"	328320	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"971: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"971"
"ukb-b-10008"	"Treatment/medication code: atorvastatin"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20003#1141146234: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	13851	449082	NA	"20003#1141146234"
"ukb-b-19346"	"PCT where patients GP was registered: COUNTY DURHAM PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5ND: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3711	459299	NA	"41230#5ND"
"ukb-b-3469"	"Diagnoses - main ICD10: I21.9 Acute myocardial infarction, unspecified"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#I219: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	2321	460689	NA	"41202#I219"
"ukb-b-8842"	"PCT where patients GP was registered: SOLIHULL PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5D1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1537	461473	NA	"41230#5D1"
"ukb-b-8193"	"Cancer code, self-reported: bladder cancer"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20001#1035: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1101	461832	NA	"20001#1035"
"ukb-b-17733"	"Operation code: colposcopy +/- biopsy"	462933	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20004#1522: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1994	460939	NA	"20004#1522"
"ukb-b-12765"	"Diagnoses - secondary ICD10: M10.99 Gout, unspecified (Site unspecified)"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41204#M1099: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1042	461968	NA	"41204#M1099"
"ukb-b-14206"	"Diagnoses - main ICD10: I20.9 Angina pectoris, unspecified"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41202#I209: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	4256	458754	NA	"41202#I209"
"ukb-b-1814"	"Cheesecake intake"	64947	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"102220: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Categorical Ordered"	"NA"	NA	NA	NA	"102220"
"ukb-b-16334"	"Illnesses of siblings: Stroke"	361925	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"20111#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	12031	349894	NA	"20111#2"
"ukb-b-4544"	"PCT responsible for patient data: WIRRAL PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41229#5NK: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	3755	459255	NA	"41229#5NK"
"ukb-b-15338"	"PCT where patients GP was registered: HARTLEPOOL PCT"	463010	9851867	2018	"MRC-IEU"	"Ben Elsworth"	"41230#5D9: Output from GWAS pipeline using Phesant derived variables from UKBiobank"	"public"	1	"Males and Females"	NA	1	"European"	"SD"	"Binary"	"NA"	1139	461871	NA	"41230#5D9"
