"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-12763" 1 0 0 0 0 0
"ukb-b-11085" 31 46 63 8 5 3
"ukb-b-38" 0 0 0 0 0 0
"ukb-b-5232" 1 0 0 0 0 0
"ukb-b-15942" 0 0 0 0 0 0
"ukb-b-20435" 0 0 0 0 0 0
"ukb-b-1418" 0 0 0 0 0 0
"ukb-b-1998" 0 0 0 0 0 0
"ukb-b-12397" 9 9 2 4 1 3
"ukb-b-16348" 0 0 0 0 0 0
"ukb-b-256" 0 0 0 0 0 0
"ukb-b-19431" 0 0 0 0 0 0
"ukb-b-20405" 0 0 0 0 0 0
"ukb-b-3035" 0 0 0 0 0 0
"ukb-b-5545" 0 0 0 0 0 0
"ukb-b-7700" 0 0 0 0 0 0
"ukb-b-8463" 1 0 0 0 0 0
"ukb-b-290" 0 0 0 0 0 0
"ukb-b-11417" 0 0 0 0 0 0
"ukb-b-10783" 1 1 0 1 0 1
"ukb-b-16209" 0 0 0 0 0 0
"ukb-b-394" 0 0 0 0 0 0
"ukb-b-20159" 1 0 0 0 0 0
"ukb-b-9029" 0 0 0 0 0 0
"ukb-b-13488" 1 0 0 0 0 0
"ukb-b-752" 2 0 0 0 0 0
"ukb-b-14505" 0 0 0 0 0 0
"ukb-b-5776" 31 12 11 6 4 2
"ukb-b-16446" 546 2220 2283 244 246 -2
"ukb-b-19498" 0 0 0 0 0 0
"ukb-b-10366" 0 0 0 0 0 0
"ukb-b-16311" 8 26 6 3 0 3
"ukb-b-391" 0 0 0 0 0 0
"ukb-b-12936" 0 0 0 0 0 0
"ukb-b-260" 0 0 0 0 0 0
"ukb-b-19069" 2 0 0 0 0 0
"ukb-b-8633" 0 0 0 0 0 0
"ukb-b-11751" 0 0 0 0 0 0
"ukb-b-43" 2 0 0 0 0 0
"ukb-b-791" 1 0 0 0 0 0
"ukb-b-11748" 0 0 0 0 0 0
"ukb-b-4933" 0 0 0 0 0 0
"ukb-b-19202" 1 0 0 0 0 0
"ukb-b-6725" 0 0 0 0 0 0
"ukb-b-17772" 1 0 0 0 0 0
"ukb-b-10567" 0 0 0 0 0 0
"ukb-b-4699" 0 0 0 0 0 0
"ukb-b-707" 0 0 0 0 0 0
"ukb-b-2557" 0 0 0 0 0 0
"ukb-b-19929" 0 0 0 0 0 0
"ukb-b-1515" 0 0 0 0 0 0
"ukb-b-17287" 0 0 0 0 0 0
"ukb-b-19206" 2 0 0 0 0 0
"ukb-b-12115" 1 0 0 0 0 0
"ukb-b-9242" 1 14 8 1 0 1
"ukb-b-8951" 0 0 0 0 0 0
"ukb-b-12227" 6 13 16 1 2 -1
"ukb-b-3188" 0 0 0 0 0 0
"ukb-b-10872" 0 0 0 0 0 0
"ukb-b-3596" 3 3 5 1 2 -1
"ukb-b-10073" 0 0 0 0 0 0
"ukb-b-14679" 3 1 0 1 0 1
"ukb-b-11780" 0 0 0 0 0 0
"ukb-b-12202" 0 0 0 0 0 0
"ukb-b-6230" 0 0 0 0 0 0
"ukb-b-8667" 5 0 0 0 0 0
"ukb-b-2715" 0 0 0 0 0 0
"ukb-b-7879" 0 0 0 0 0 0
"ukb-b-5425" 0 0 0 0 0 0
"ukb-b-10617" 1 0 0 0 0 0
"ukb-b-20218" 0 0 0 0 0 0
"ukb-b-7901" 0 0 0 0 0 0
"ukb-b-4455" 0 0 0 0 0 0
"ukb-b-6181" 0 0 0 0 0 0
"ukb-b-19129" 1 0 0 0 0 0
"ukb-b-6891" 0 0 0 0 0 0
"ukb-b-13183" 0 0 0 0 0 0
"ukb-b-13092" 5 3 6 1 1 0
"ukb-b-4929" 1 0 0 0 0 0
"ukb-b-12236" 2 0 0 0 0 0
"ukb-b-20455" 0 0 0 0 0 0
"ukb-b-16671" 0 0 0 0 0 0
"ukb-b-19921" 528 1530 1595 209 205 4
"ukb-b-6044" 0 0 0 0 0 0
"ukb-b-20188" 394 947 967 125 120 5
"ukb-b-6330" 0 0 0 0 0 0
"ukb-b-6540" 0 0 0 0 0 0
"ukb-b-8659" 0 0 0 0 0 0
"ukb-b-5213" 8 3 0 3 0 3
"ukb-b-73" 1 5 6 1 1 0
"ukb-b-11369" 1 0 0 0 0 0
"ukb-b-6504" 0 0 0 0 0 0
"ukb-b-10912" 81 162 177 37 35 2
"ukb-b-2134" 101 67 106 13 17 -4
"ukb-b-7853" 0 0 0 0 0 0
"ukb-b-319" 1 0 0 0 0 0
"ukb-b-12839" 8 9 11 1 2 -1
"ukb-b-13702" 0 0 0 0 0 0
"ukb-b-9744" 0 0 0 0 0 0
"ukb-b-16499" 34 65 80 10 12 -2
"ukb-b-6716" 0 0 0 0 0 0
"ukb-b-18541" 6 13 11 4 3 1
"ukb-b-6298" 1 0 0 0 0 0
"ukb-b-15686" 11 42 53 3 4 -1
"ukb-b-13607" 0 0 0 0 0 0
"ukb-b-8572" 0 0 0 0 0 0
"ukb-b-8906" 0 0 0 0 0 0
"ukb-b-4188" 0 0 0 0 0 0
"ukb-b-7432" 0 0 0 0 0 0
"ukb-b-14017" 1 0 0 0 0 0
"ukb-b-11015" 0 0 0 0 0 0
"ukb-b-16710" 0 0 0 0 0 0
"ukb-b-9838" 21 11 6 4 2 2
"ukb-b-16508" 2 1 3 1 1 0
"ukb-b-16609" 0 0 0 0 0 0
"ukb-b-4482" 2 1 0 1 0 1
"ukb-b-13686" 2 18 8 2 1 1
"ukb-b-11120" 1 0 0 0 0 0
"ukb-b-8446" 2 0 1 0 0 0
"ukb-b-8197" 0 0 0 0 0 0
"ukb-b-3875" 0 0 0 0 0 0
"ukb-b-8268" 1 6 8 0 1 -1
"ukb-b-12964" 0 0 0 0 0 0
"ukb-b-11388" 1 0 0 0 0 0
"ukb-b-15321" 0 0 0 0 0 0
"ukb-b-18865" 0 0 0 0 0 0
"ukb-b-19398" 0 0 0 0 0 0
"ukb-b-17907" 0 0 0 0 0 0
"ukb-b-1164" 0 0 0 0 0 0
"ukb-b-7773" 13 13 13 5 5 0
"ukb-b-3169" 12 6 2 1 1 0
"ukb-b-4512" 0 0 0 0 0 0
"ukb-b-15625" 3 2 0 1 0 1
"ukb-b-14905" 0 0 0 0 0 0
"ukb-b-6848" 6 0 0 0 0 0
"ukb-b-4690" 0 0 0 0 0 0
"ukb-b-3549" 7 0 4 0 2 -2
"ukb-b-20239" 1 0 0 0 0 0
"ukb-b-13664" 6 19 9 2 2 0
"ukb-b-6614" 0 0 0 0 0 0
"ukb-b-12872" 0 0 0 0 0 0
"ukb-b-11878" 0 0 0 0 0 0
"ukb-b-18105" 12 10 16 4 7 -3
"ukb-b-16369" 1 0 0 0 0 0
"ukb-b-6652" 0 0 0 0 0 0
"ukb-b-969" 47 79 36 7 4 3
"ukb-b-7288" 4 0 4 0 1 -1
"ukb-b-9130" 38 11 10 3 3 0
"ukb-b-14664" 208 295 281 73 68 5
"ukb-b-4601" 0 0 0 0 0 0
"ukb-b-6906" 0 0 0 0 0 0
"ukb-b-13516" 18 1 5 1 5 -4
"ukb-b-14713" 296 757 716 102 99 3
"ukb-b-7992" 263 497 495 81 86 -5
"ukb-b-16882" 0 0 0 0 0 0
"ukb-b-5693" 0 0 0 0 0 0
"ukb-b-16636" 0 0 0 0 0 0
"ukb-b-2338" 0 0 0 0 0 0
"ukb-b-8621" 0 0 0 0 0 0
"ukb-b-6873" 0 0 0 0 0 0
"ukb-b-15326" 0 0 0 0 0 0
"ukb-b-12209" 5 89 99 3 4 -1
"ukb-b-16399" 5 0 0 0 0 0
"ukb-b-2618" 5 2 0 1 0 1
"ukb-b-20185" 0 0 0 0 0 0
"ukb-b-15924" 0 0 0 0 0 0
"ukb-b-8882" 1 0 0 0 0 0
"ukb-b-11297" 26 109 85 11 10 1
"ukb-b-531" 0 0 0 0 0 0
"ukb-b-8648" 1 0 0 0 0 0
"ukb-b-10821" 0 0 0 0 0 0
"ukb-b-19462" 1 31 1 1 0 1
"ukb-b-18202" 3 0 0 0 0 0
"ukb-b-4184" 0 0 0 0 0 0
"ukb-b-4711" 57 67 64 9 8 1
"ukb-b-16522" 2 0 0 0 0 0
"ukb-b-6218" 4 0 0 0 0 0
"ukb-b-11532" 0 0 0 0 0 0
"ukb-b-19473" 3 3 6 1 1 0
